No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Required Quantity
0,Saturday,15-08-26,63558,36, Mecca ,SOIL,13-08-26,,,51,Fill,C-A,BH-11-3,M 96,LAYER-1,3,,1413,APPROVED AS NOTED,DONE,2,EIDG,2,,,
1,Monday,17-08-26,63779,36, Mecca ,DPL,16-08-26,,,56.14,Fill,C-A,BH-11-3,M 91,LAYER-1,2,,213,APPROVED AS NOTED,DONE,2,EIDG,1,,,
2,Sunday,16-08-26,63732,36, Mecca ,SOIL,15-08-26,A-4,49.00%,,Bottom of excavation,C-A,BH-11-3,M 91,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
3,Sunday,16-08-26,63729,36, Mecca ,SOIL,15-08-26,A-4,53.00%,,Bottom of excavation,C-A,BH-11-3,M 97,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
4,Wednesday,19-08-26,63966,36, Mecca ,DPL,18-08-26,,,47.67,Fill,C-A,BH-11-3,M 98,LAYER-3,2,,267,APPROVED AS NOTED,DONE,2,EIDG,1,,,
5,Sunday,16-08-26,63719,36, Mecca ,SOIL,15-08-26,A-4,51.20%,,Bottom of excavation,C-A,BH-11-3,M 98,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
6,Monday,17-08-26,63780,36, Mecca ,DPL,16-08-26,,,45.97,Fill,C-A,BH-11-3,M 98,LAYER-1,2,,106,APPROVED AS NOTED,DONE,2,EIDG,1,,,
7,Monday,17-08-26,63792,36, EL-Hoda ,SOIL,16-08-26,A-4,47.80%,,Bottom of excavation,C-A,BH-13-3,M 190,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
8,Monday,17-08-26,63796,36, EL-Hoda ,SOIL,16-08-26,A-4,49.20%,,Bottom of excavation,C-A,BH-13-3,M 193,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
9,Saturday,15-08-26,63546,36, EL-Hoda ,SOIL,13-08-26,A-2-4,32.60%,,Bottom of excavation,C-A,BH-13-3,M 115,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,,,
10,Monday,17-08-26,63793,36, EL-Hoda ,DPL,16-08-26,,,47.58,Fill,C-A,BH-13-3,M 115,LAYER-1,2,,505,APPROVED AS NOTED,DONE,2,EIDG,1,,,
11,Wednesday,19-08-26,63964,36, EL-Hoda ,SOIL,18-08-26,A-2-4,33.60%,,Bottom of excavation,C-A,BH-13-3,M 191,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
12,Wednesday,19-08-26,63963,36, EL-Hoda ,DPL,18-08-26,,,45.5,Fill,C-A,BH-13-3,M 195,LAYER-2,2,,947,APPROVED AS NOTED,DONE,2,EIDG,1,,,
13,Monday,17-08-26,63786,36, EL-Hoda ,SOIL,16-08-26,A-4,48.00%,,Bottom of excavation,C-A,BH-13-3,M 195,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
14,Wednesday,19-08-26,63955,36, Inshaa ,DPL,18-08-26,,,55.57,Fill,C-A,BH-9-3,M 83,LAYER-1,2,,477,APPROVED AS NOTED,DONE,2,EIDG,1,,,
15,Saturday,15-08-26,63551,36, Inshaa ,SOIL,13-08-26,A-4,56.40%,,Bottom of excavation,C-A,BH-9-3,M 83,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,,,
16,Saturday,15-08-26,63541,36, Inshaa ,SOIL,13-08-26,A-4,50.40%,,Bottom of excavation,C-A,BH-9-3,M 84,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,,,
17,Saturday,15-08-26,63554,36, Inshaa ,SOIL,13-08-26,A-4,53.40%,,Bottom of excavation,C-A,BH-9-3,M 79,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,,,
18,Sunday,16-08-26,63728,36, Inshaa ,DPL,15-08-26,,,57.44,Fill,C-A,BH-9-3,M 79,LAYER-1,2,,173,APPROVED AS NOTED,DONE,2,EIDG,1,,,
19,Monday,17-08-26,63805,36, Inshaa ,SOIL,16-08-26,A-4,47.00%,,Bottom of excavation,C-A,BH-10-2,M 87,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
20,Monday,17-08-26,63804,36, Inshaa ,SOIL,16-08-26,A-4,49.00%,,Bottom of excavation,C-A,BH-10-2,M 87,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
21,Monday,17-08-26,63802,36, Inshaa ,SOIL,16-08-26,A-4,44.80%,,Bottom of excavation,C-A,BH-9-3,M 78,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
22,Monday,17-08-26,63806,36, Inshaa ,SOIL,16-08-26,A-4,45.60%,,Bottom of excavation,C-A,BH-9-3,M 78,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
23,Wednesday,19-08-26,63954,36, Inshaa ,DPL,18-08-26,,,47.64,Fill,C-A,BH-9-3,M 84-79,LAYER-2,3,,1021,APPROVED AS NOTED,DONE,2,EIDG,1,,,
24,Saturday,15-08-26,63553,36, Inshaa ,SOIL,13-08-26,A-4,72.00%,,Bottom of excavation,C-A,BH-10-2,M 84,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,,,
25,Saturday,15-08-26,63555,36, Inshaa ,SOIL,13-08-26,A-4,72.00%,,Bottom of excavation,C-A,BH-10-2,M 84,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,,,
26,Sunday,16-08-26,63726,36, Inshaa ,DPL,15-08-26,,,48.99,Fill,C-A,BH-9-3,M 84,LAYER-1,2,,786,APPROVED AS NOTED,DONE,2,EIDG,1,,,
27,Monday,17-08-26,63809,36, Inshaa ,DPL,16-08-26,,,50.769,Fill,C-A,BH-10-2,M 84,LAYER-1,2,,435,APPROVED AS NOTED,DONE,2,EIDG,1,,,
28,Saturday,15-08-26,63552,36, Inshaa ,SOIL,13-08-26,A-4,51.60%,,Bottom of excavation,C-A,BH-10-2,M 88,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,,,
29,Monday,17-08-26,63778,36, Inshaa ,DPL,16-08-26,,,43.22,Fill,C-A,BH-10-2,M 89,LAYER-1,2,,218,APPROVED AS NOTED,DONE,2,EIDG,1,,,
30,Wednesday,19-08-26,63969,36, Karim Salam ,SOIL,18-08-26,A-4,36.40%,,Bottom of excavation,C-A,BH-14-2,M 186,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
31,Wednesday,19-08-26,63957,36, Karim Salam ,SOIL,18-08-26,A-4,56.00%,,Bottom of excavation,C-A,BH-14-2,M 183,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
32,Tuesday,18-08-26,63866,36, Karim Salam ,SOIL,17-08-26,A-4,37.00%,,Bottom of excavation,C-A,BH-14-2,M 185,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
33,Wednesday,19-08-26,63962,36, Mokhtar EL-Shenawy ,DPL,18-08-26,,,47.37,Fill,C-A,BH-8-3,M 76,LAYER-1,4,,1684,APPROVED AS NOTED,DONE,2,EIDG,1,,,
34,Wednesday,19-08-26,63959,36, Mokhtar EL-Shenawy ,DPL,18-08-26,,,52.86,Fill,C-A,BH-9-1,M 76,LAYER-1,2,,808,APPROVED AS NOTED,DONE,2,EIDG,1,,,
