No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Note
1,Saturday,01-11-25,35184,36,El-BATAL,SOIL,28-10-25,A-1-B,8.20%,,Bottom of excavation,MARINA C,B-12,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,4,
2,Saturday,01-11-25,35198,36,SAAD SHETA,DPL,31-10-25,,,52.73,Fill,MARINA C,B-20,LAYER-6,9,,,APPROVED AS NOTED,DONE,2,EIDG,1,
3,Saturday,01-11-25,35199,36,NEESR EL-ARABY,DPL,31-10-25,,,58.84,Fill,MARINA C,B-18,LAYER-4,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,
4,Saturday,01-11-25,35200,36,NEESR EL-ARABY,DPL,31-10-25,,,56.59,Fill,MARINA C,B-17,LAYER-4,7,,,APPROVED AS NOTED,DONE,2,EIDG,1,
5,Saturday,01-11-25,35201,36,MOKHTAR ELSHENAWY,DPL,31-10-25,,,57.44,Fill,MARINA C,BH-9,LAYER-1,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,
6,Saturday,01-11-25,35202,36,MOKHTAR ELSHENAWY,DPL,31-10-25,,,45.52,Fill,MARINA C,BH-8,LAYER-1,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,
7,Saturday,01-11-25,35203,36,NEESR EL-ARABY,SOIL,30-10-25,A-1-B,7.30%,,Stockpile,MARINA C,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,2,
8,Saturday,01-11-25,35204,36,MOKHTAR ELSHENAWY,SOIL,30-10-25,A-4,71.90%,,Bottom of excavation,MARINA C,BH-10,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,
9,Saturday,01-11-25,35206,36,U-MARK,DPL,30-10-25,,,48.41,Bottom of excavation,MARINA C,B-13,,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
10,Saturday,01-11-25,35205,36,El-BATAL,SOIL,30-10-25,A-4,81.20%,,Bottom of excavation,MARINA C,BH-9,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,2,
