No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200, AVERAGE VALUE,Sampling Location,Zone,ELMENT,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Note
1,Wednesday,24-09-25,30955,36,Etihadeya,DPL,03-08-25,,,45.228,Fill,V01-D,V 155,LAYER - 10,2,,,APPROVED AS NOTED,DONE,3,EIDG,52,
2,Wednesday,24-09-25,30956,36,Etihadeya,DPL,05-08-25,,,46.649,Fill,V01-D,V 155,LAYER - 11,2,,,APPROVED AS NOTED,DONE,3,EIDG,50,
3,Wednesday,24-09-25,30957,36,Etihadeya,DPL,16-07-25,,,56.49,Fill,V01-D,V 155,LAYER - 1,2,,,APPROVED AS NOTED,DONE,3,EIDG,70,
4,Wednesday,24-09-25,30958,36,Etihadeya,DPL,19-07-25,,,56.56,Fill,V01-D,V 155,LAYER - 2,2,,,APPROVED AS NOTED,DONE,3,EIDG,67,
5,Wednesday,24-09-25,30959,36,Etihadeya,DPL,19-07-25,,,57.91,Fill,V01-D,V 155,LAYER - 3,2,,,APPROVED AS NOTED,DONE,3,EIDG,67,
6,Wednesday,24-09-25,30960,36,Etihadeya,DPL,21-07-25,,,47.37,Fill,V01-D,V 155,LAYER - 4,2,,,APPROVED AS NOTED,DONE,3,EIDG,65,
7,Wednesday,24-09-25,30961,36,Etihadeya,DPL,24-07-25,,,54.43,Fill,V01-D,V 155,LAYER - 5,2,,,APPROVED AS NOTED,DONE,3,EIDG,62,
8,Wednesday,24-09-25,30962,36,Etihadeya,DPL,31-07-25,,,50.408,Fill,V01-D,V 155,LAYER - 6,2,,,APPROVED AS NOTED,DONE,3,EIDG,55,
9,Wednesday,24-09-25,30963,36,Etihadeya,DPL,31-07-25,,,50.461,Fill,V01-D,V 155,LAYER - 7,2,,,APPROVED AS NOTED,DONE,3,EIDG,55,
10,Wednesday,24-09-25,30964,36,Etihadeya,DPL,31-07-25,,,54.55,Fill,V01-D,V 155,LAYER - 8,2,,,APPROVED AS NOTED,DONE,3,EIDG,55,
11,Wednesday,24-09-25,30965,36,Etihadeya,DPL,31-07-25,,,49.006,Fill,V01-D,V 155,LAYER - 9,2,,,APPROVED AS NOTED,DONE,3,EIDG,55,
12,Wednesday,24-09-25,30951,36,Ahmed Saeed El-Shenawy,DPL,08-07-25,,,49.735,Bottom of excavation,V01-D,V 15,   ,2,,,APPROVED AS NOTED,DONE,3,EIDG,78,
13,Wednesday,24-09-25,30952,36,Ahmed Saeed El-Shenawy,DPL,15-07-25,,,47.278,Fill,V01-D,V 15,LAYER - 1,2,,,APPROVED AS NOTED,DONE,3,EIDG,71,
14,Wednesday,24-09-25,30953,36,Ahmed Saeed El-Shenawy,DPL,17-07-25,,,46.578,Fill,V01-D,V 15,LAYER - 2,2,,,APPROVED AS NOTED,DONE,3,EIDG,69,
15,Wednesday,24-09-25,30954,36,Ahmed Saeed El-Shenawy,SOIL,10-07-25,A-2-4,24.60%,,Bottom of excavation,V01-D,V 15,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,76,
16,Wednesday,24-09-25,3268,36,Ahmed Saeed El-Shenawy,DPL,14-07-25,,,48.139,Fill,V01-D,V 7,LAYER - 7,2,,,APPROVED AS NOTED,DONE,3,EIDG,72,
17,Wednesday,24-09-25,3330,36,Ahmed Saeed El-Shenawy,DPL,05-07-25,,,45.175,Bottom of excavation,V01-D,V 7,,2,,,APPROVED AS NOTED,DONE,3,EIDG,81,
18,Wednesday,24-09-25,3188,36,Ahmed Saeed El-Shenawy,DPL,08-07-25,,,53.835,Fill,V01-D,V 7,LAYER - 1,2,,,APPROVED AS NOTED,DONE,3,EIDG,78,
