No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Required Quantity
1,Wednesday,17-12-25,50001,73,Hassan Allam,DPL,14-12-25,,,40,Bottom of excavation,G.73.A,G73-A14,BH 126,33,22,,10835,APPROVED AS NOTED,DONE,2,SAMA EGYPT,3,Al Asifa,,
2,Wednesday,17-12-25,50002,73,Sherif Saber,PLATE LOAD,02-12-25,,,,Bottom of excavation,G.73.A,G73-A38,B18G35,23.93,1,,1135,APPROVED AS NOTED,DONE,4,CEL,15,Al Rehab Foundation,,
3,Wednesday,17-12-25,50003,73,Sherif Saber,PLATE LOAD,02-12-25,,,,Bottom of excavation,G.73.A,G73-A38,B18G36,24.48,1,,1055,APPROVED AS NOTED,DONE,4,CEL,15,Al Masria (Rock),,
4,Wednesday,17-12-25,50004,73,Al Kefah,PLATE LOAD,03-12-25,,,,Bottom of excavation,G.73.A,G73-A39,B19G37,24.87,1,,898,APPROVED AS NOTED,DONE,4,CEL,14,Perfect Quality,,
5,Wednesday,17-12-25,50005,73,Al Kefah,PLATE LOAD,03-12-25,,,,Bottom of excavation,G.73.A,G73-A39,B19G38,25.55,1,,815,APPROVED AS NOTED,DONE,4,CEL,14,Al Omraniya,,
6,Wednesday,17-12-25,50006,73,Al Kefah,PLATE LOAD,03-12-25,,,,Bottom of excavation,G.73.A,G73-A39,B20G39,27.18,1,,619,APPROVED AS NOTED,DONE,4,CEL,14,Hassan Allam,,
7,Wednesday,17-12-25,50007,73,Al Kefah,PLATE LOAD,03-12-25,,,,Bottom of excavation,G.73.A,G73-A39,B20G40,27.03,1,,1034,APPROVED AS NOTED,DONE,4,CEL,14,Al Nada,,
8,Wednesday,17-12-25,50008,73,Al Salmi,PLATE LOAD,09-12-25,,,,Bottom of excavation,G.73.A,G73-A46,B3G5,25.38,1,,1180,APPROVED AS NOTED,DONE,4,CEL,8,Geos (International),,
9,Wednesday,17-12-25,50009,73,Al Salmi,PLATE LOAD,09-12-25,,,,Bottom of excavation,G.73.A,G73-A46,B3G6,25.53,1,,1236,APPROVED AS NOTED,DONE,4,CEL,8,Al Mostafa,,
10,Wednesday,17-12-25,50010,73,Al Salmi,PLATE LOAD,09-12-25,,,,Bottom of excavation,G.73.A,G73-A46,B4G7,26.98,1,,960,APPROVED AS NOTED,DONE,4,CEL,8,Al Anoud Al Arabia,,
11,Wednesday,17-12-25,50011,73,Al Salmi,PLATE LOAD,09-12-25,,,,Bottom of excavation,G.73.A,G73-A46,B4G8,27.19,1,,863,APPROVED AS NOTED,DONE,4,CEL,8,Al Ittihadiya,,
12,Wednesday,17-12-25,50012,73,Al Aqsa,PLATE LOAD,13-12-25,,,,Bottom of excavation,G.73.A,G73-A23,B54G101,27.64,1,,1930,APPROVED AS NOTED,DONE,4,CEL,4,Al Obour,,
13,Wednesday,17-12-25,50013,73,Al Aqsa,PLATE LOAD,13-12-25,,,,Bottom of excavation,G.73.A,G73-A23,B54G102,27.64,1,,1930,APPROVED AS NOTED,DONE,4,CEL,4,Awlad Shaaban,,
14,Wednesday,17-12-25,50014,73,Al Salmi,PLATE LOAD,13-12-25,,,,Bottom of excavation,G.73.A,G73-A46,B11G22,23.32,1,,1273,APPROVED AS NOTED,DONE,4,CEL,4,El Gharably,,
15,Wednesday,17-12-25,50015,73,Ghaly,PLATE LOAD,14-12-25,,,,Bottom of excavation,G.73.A,G73-A41,B23G45,27.95,1,,1249,APPROVED AS NOTED,DONE,4,CEL,3,Prime,,
16,Wednesday,17-12-25,50016,73,Al Salmi,DPL,13-12-25,,,52.3,Bottom of excavation,G.73.A,G73-A46,B11G22,23.32,3,,1273,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,4,Al Aqsa,,
17,Wednesday,17-12-25,50017,73,Al Salmi,DPL,13-12-25,,,54.2,Bottom of excavation,G.73.A,G73-A46,B11G21,24.2,3,,1197,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,4,Kayan,,
18,Wednesday,17-12-25,50018,73,Al Salmi,DPL,11-12-25,,,51.2,Bottom of excavation,G.73.A,G73-A46,B4G8,27.19,2,,842,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,6,Roxy Egypt,,
19,Wednesday,17-12-25,50019,73,Al Salmi,DPL,11-12-25,,,50.6,Bottom of excavation,G.73.A,G73-A46,B4G7,"26,98",2,,891,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,6,Hamada Gamal,,
20,Wednesday,17-12-25,50020,73,Al Salmi,DPL,11-12-25,,,55.5,Bottom of excavation,G.73.A,G73-A46,B3G6,25.53,3,,1146,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,6,Mamdouh Abdel Moneim,,
21,Wednesday,17-12-25,50021,73,Al Salmi,DPL,11-12-25,,,60.1,Bottom of excavation,G.73.A,G73-A46,B3G5,25.38,3,,1180,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,6,MAS,,
22,Wednesday,17-12-25,50022,73,Al Salmi,DPL,14-12-25,,,51.3,Bottom of excavation,G.73.A,G73-A46,BH 28,26,8,,3764,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Road Runner,,
23,Wednesday,17-12-25,50023,73,Target,DPL,14-12-25,,,52.4,Bottom of excavation,G.73.A,G73-A47,BH 27,26.2,3,,1228.5,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Nine Brothers,,
24,Wednesday,17-12-25,50024,73,Target,DPL,14-12-25,,,52.6,Bottom of excavation,G.73.A,G73-A47,BH 26,26.7,4,,1590.5,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Al Alamiya,,
25,Wednesday,17-12-25,50025,73,Al Salmi,DPL,13-12-25,,,51.8,Bottom of excavation,G.73.A,G73-A46,BH 3,23.5,9,,4470,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,4,Vertex,,
26,Wednesday,17-12-25,50026,73,Al Salmi,DPL,13-12-25,,,50.9,Bottom of excavation,G.73.A,G73-A46,BH 27,26.2,2,,869,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,4,Moon Light,,
27,Wednesday,17-12-25,50027,73,Al Salmi,DPL,11-12-25,,,65.7,Bottom of excavation,G.73.A,G73-A46,BH 25,26.3,3,,1263,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,6,Deif Foundation,,
28,Wednesday,17-12-25,50028,73,Al Salmi,DPL,11-12-25,,,40,Bottom of excavation,G.73.A,G73-A46,BH 2,25.3,5,,2462,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,6,Smart,,
29,Wednesday,17-12-25,50029,73,Al Shahd,DPL,15-12-25,,,40,Bottom of excavation,G.73.A,G73-A42,BH 14,29.2,2,,559,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,El Samman,,
30,Wednesday,17-12-25,50030,73,Al Shahd,DPL,15-12-25,,,40,Bottom of excavation,G.73.A,G73-A42,BH 26,26.7,2,,869,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,Hamdan Al Qasli,,
31,Wednesday,17-12-25,50031,73,Al Kefah,DPL,14-12-25,,,38.9,Fill,G.73.A,G73-A39,B19G38,26,2,,852,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Ahmed Youssef,,
32,Wednesday,17-12-25,50032,73,Al Salmi,DPL,14-12-25,,,41,Fill,G.73.A,G73-A46,B3G5-6,26,5,,2416,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Sherif Saber,,
33,Wednesday,17-12-25,50033,73,Al Salmi,DPL,14-12-25,,,40,Fill,G.73.A,G73-A46,B3G5,25.5,3,,1180,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Al Kefah,,
34,Wednesday,17-12-25,50034,73,Sherif Saber,DPL,13-12-25,,,39,Fill,G.73.A,G73-A38,B18G35,24,3,,1150,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,4,Hamada Saeed (Mohamed El Ghoul),,
35,Wednesday,17-12-25,50035,73,Al Kefah,DPL,13-12-25,,,40,Fill,G.73.A,G73-A39,B19G37,25,2,,898.9,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,4,Al Nasser,,
36,Wednesday,17-12-25,50036,73,Al Kefah,DPL,15-12-25,,,39,Fill,G.73.A,G73-A39,B19G37,25.5,2,,923,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,Ghaly,,
37,Wednesday,17-12-25,50037,73,Al Salmi,DPL,15-12-25,,,39,Fill,G.73.A,G73-A46,B11G22,23.5,3,,1273,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,Al Shahd,,
38,Wednesday,17-12-25,50038,73,Al Salmi,DPL,15-12-25,,,40,Fill,G.73.A,G73-A46,B11G21,24.5,3,,1197,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,Benyan,,
39,Wednesday,17-12-25,50039,73,Sherif Saber,DPL,15-12-25,,,40,Fill,G.73.A,G73-A38,B18G35,24.5,3,,1150,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,Egy Contract,,
40,Wednesday,17-12-25,50040,73,Al Kefah,DPL,14-12-25,,,42,Fill,G.73.A,G73-A39,BH 36,26,6,,2652,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Memaar El Nahas,,
41,Wednesday,17-12-25,50041,73,Al Salmi,DPL,14-12-25,,,40,Fill,G.73.A,G73-A46,BH 2,26,5,,2426,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Al Salmi,,
42,Wednesday,17-12-25,50042,73,Al Salmi,DPL,14-12-25,,,39,Fill,G.73.A,G73-A46,BH 2,25.5,5,,2462,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,3,Target,,
43,Wednesday,17-12-25,50043,73,Al Salmi,DPL,15-12-25,,,40,Fill,G.73.A,G73-A46,BH 25,27,3,,1400,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,Al Ettehad – Brig. Tamer Bilal (Al Pharaohs),,
44,Wednesday,17-12-25,50044,73,Al Salmi,DPL,15-12-25,,,38.9,Fill,G.73.A,G73-A46,BH 25,26.5,3,,1400,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,Al Salmi Trading,,
45,Wednesday,17-12-25,50045,73,Sherif Saber,DPL,15-12-25,,,41,Fill,G.73.A,G73-A38,BH 8,24.5,3,,1090,APPROVED AS NOTED,DONE,2,Engineering Consulting House ,2,Gomaa Badr,,
46,Wednesday,17-12-25,50046,73,Al Shahd,PLATE LOAD,14-12-25,,,,Bottom of excavation,G.73.A,G73-A42,B7G14,29.39,1,,795.58,REVISE,DONE,4,CEL,3,Al Ettehad – Brig. Tamer Bilal (Al Pharaohs),,
47,Wednesday,17-12-25,50046,73,Al Shahd,PLATE LOAD,16-12-25,,,,Bottom of excavation,G.73.A,G73-A42,B7G14,29.39,1,,795.58,APPROVED AS NOTED,DONE,4,CEL,1,Alma,,
48,Wednesday,17-12-25,50047,73,Al Shahd,PLATE LOAD,14-12-25,,,,Bottom of excavation,G.73.A,G73-A42,B8G15,29.41,1,,750,REVISE,DONE,4,CEL,3,Al Kefah,,
49,Wednesday,17-12-25,50047,73,Al Shahd,PLATE LOAD,16-12-25,,,,Bottom of excavation,G.73.A,G73-A42,B8G15,29.41,1,,750,APPROVED AS NOTED,DONE,4,CEL,1,Al Mostafa,,
