No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,Station,Direction,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Required Quantity
0,Sunday,06-09-26,64813,36, Saad Sheita ,DPL,05-09-26,,,48.108,Fill,C-A,RD-01,,7+200 : 7+250,R+L,LAYER-7,5,,2545,APPROVED AS NOTED,DONE,2,EIDG,1,,,
1,Sunday,06-09-26,64812,36, Benaa ,DPL,05-09-26,,,45.88,Fill,C-A,RD-01,,6+490 : 6+540,R+L,LAYER-7,3,,1221,APPROVED AS NOTED,DONE,2,EIDG,1,,,
2,Sunday,06-09-26,90017,36, EL-Nada EL-Saadany ,DPL,06-09-26,,,52.023,Fill,C-A,RD-01,,6+720 : 6+770,R+L,LAYER-7,5,,2651,APPROVED AS NOTED,DONE,2,EIDG,0,,,
3,Sunday,06-09-26,64831,36, EL-Nada EL-Saadany ,DPL,03-09-26,,,50.61,Fill,C-A,RD-01,,6+720 : 6+770,R+L,LAYER-6,5,,2526,APPROVED AS NOTED,DONE,2,EIDG,3,,,
4,Sunday,06-09-26,64902,36, EL-Nada EL-Saadany ,DPL,03-09-26,,,51.04,Fill,C-A,RD-01,,6+720 : 6+770,R+L,LAYER-6,5,,2526,APPROVED AS NOTED,DONE,2,EIDG,3,,,
5,Sunday,06-09-26,90047,36, Orascom ,DPL,06-09-26,,,47.78,Fill,C-A,RD-01,,7+740 : 7+800,R+L,LAYER-11,6,,2834,APPROVED AS NOTED,DONE,2,EIDG,0,,,
6,Sunday,06-09-26,90047,36, Orascom ,DPL,03-09-26,,,46.097,Fill,C-A,RD-01,,7+740 : 7+800,R+L,LAYER-10,6,,2794,APPROVED AS NOTED,DONE,2,EIDG,3,,,
7,Sunday,06-09-26,90020,36, Abnaa Mohamed Badawy ,DPL,06-09-26,,,44.43,Fill,C-A,RD-01,,7+365 : 7+380,R+L,LAYER-6,2,,677,APPROVED AS NOTED,DONE,2,EIDG,0,,,
8,Sunday,06-09-26,64886,36, Abnaa Mohamed Badawy ,DPL,03-09-26,,,46.34,Fill,C-A,RD-01,,7+365 : 7+380,R+L,LAYER-5,2,,649,APPROVED AS NOTED,DONE,2,EIDG,3,,,
9,Sunday,06-09-26,90053,36, EL-Batal ,DPL,06-09-26,,,49.014,Fill,C-A,RD-01,,5+980 : 6+060,R+L,LAYER-4,7,,3384,APPROVED AS NOTED,DONE,2,EIDG,0,,,
10,Sunday,06-09-26,64883,36, EL-Batal ,DPL,03-09-26,,,50.35,Fill,C-A,RD-01,,5+990 : 6+060,R+L,LAYER-3,6,,2941,APPROVED AS NOTED,DONE,2,EIDG,3,,,
11,Sunday,06-09-26,90039,36, EL-Nada EL-Saadany ,DPL,06-09-26,,,48.38,Fill,C-A,RD-01,,6+600 : 6+660,R+L,LAYER-6,6,,3020,APPROVED AS NOTED,DONE,2,EIDG,0,,,
12,Sunday,06-09-26,64962,36, Orascom ,PLATE LOAD,02-09-26,,,,Fill,C-A,RD-01,,7+500 : 7+660,R+L,29.52,1,,,APPROVED AS NOTED,DONE,6,CEDC,4,,,
13,Sunday,06-09-26,64817,36, EL-Batal ,SOIL,04-09-26,A-2-4,26.80%,,Bottom of excavation,C-A,RD-01,,6+320 : 6+350,R+L,,1,Sieve analysis,1421,APPROVED AS NOTED,DONE,2,EIDG,2,,,
14,Sunday,06-09-26,64844,36, Benaa ,DPL,04-09-26,,,47.167,Fill,C-A,RD-01,,6+490 : 6+540,R+L,LAYER-7,3,,1112,APPROVED AS NOTED,DONE,2,EIDG,2,,,
15,Sunday,06-09-26,90026,36, MTR for Import ,DPL,06-09-26,,,50.023,Fill,C-A,RD-01,,6+970 : 7+040,R+L,LAYER-10,8,,3954,APPROVED AS NOTED,DONE,2,EIDG,0,,,
16,Sunday,06-09-26,64868,36, MTR for Import ,DPL,03-09-26,,,47.55,Fill,C-A,RD-01,,6+970 : 7+040,R+L,LAYER-9,8,,3928,APPROVED AS NOTED,DONE,2,EIDG,3,,,
17,Sunday,06-09-26,64987,36, EL-Nada EL-Saadany ,PLATE LOAD,02-09-26,,,,Fill,C-A,RD-01,,6+600 : 6+690,R+L,45.52,1,,4078.03,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,,,
18,Sunday,06-09-26,64984,36, EL-Nada EL-Saadany ,PLATE LOAD,02-09-26,,,,Fill,C-A,RD-01,,6+600 : 6+690,R+L,45.52,1,,4078.03,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,,,
